score,title,likereview,dislikereview,country,rometype,intimelong,people,inrometime,reviewtime,help_vote,unhelp_vote
9.0,Woukd stay here again.,"Location is great, just a couple of minutes walk to Earl’s Court tube station and",Pillows too hard and room on the small side but ok for one person.,United Kingdom,Deluxe Double Room,2 nights ·,Solo traveller,August 2022,23 August 2022,,
9.0,Very Pleased,"We loved this hotel from the moment we arrived. The staff were all lovely and very welcoming and helpful on reception and at the front door of hotel .The hotel was spotless and the towels were changed every day.  I had advised the hotel that we were coming down for my boyfriends special birthday and they made the room so special with balloons, rose petals all over the bed and complimentary truffles and other special touches.The hotel is in a great location and minutes away from coffee shops, bars and the subway. I really would recommend this hotel.",,United Kingdom,Deluxe Double Room,3 nights ·,Couple,August 2022,23 August 2022,,
7.0,Great location and value for money,,Staff could be friendlier . Dining staff curt.Bathrooms could be cleaner . Grout lines showers,Ireland,Deluxe Twin Room,4 nights ·,Couple,August 2022,23 August 2022,,
9.0,I recommend,The staff was really friendly and helpful,Some things in the room were broken or damage,Spain,Deluxe Twin Room,3 nights ·,Family,August 2022,22 August 2022,,
8.0,"Great stay, thanks for the upgrade","Perfect location! Check in/out was a breezeclean comfortable roomA/C was a welcome additionstaff were helpful, friendly and courteous",The cost of 1 night was removed from my card and I was asked to pay the full amount at check inseems to me that I should of paid the additional night not the total stay as money was already removed from my card,United Kingdom,Superior Double Room,2 nights ·,Couple,August 2022,22 August 2022,,
8.0,Very good,Super location beside the tube for getting around.  Lovely staff and comfortable bed.,The rooms are probably overpriced. We had a superior room and it was tiny. The pictures on the site don't show how small it is. Probably prices are due to the area the hotel is in....Kennington.,Ireland,Superior Double Room,3 nights ·,Couple,August 2022,22 August 2022,,
7.0,Good,Comfortable bed and location,Rabbit warren Fridge not working No ironing boardBut staff cooperated to fix things,Australia,Superior Double Room,2 nights ·,Family,August 2022,20 August 2022,,
8.0,excellent base location to explore London,location is excellent,"too bright in the room at night time,",United Kingdom,Club Double Room,2 nights ·,Couple,July 2022,20 August 2022,,
9.0,A lovely nights stay in London,"The staff were very friendly, polite and helpful.",,United Kingdom,Deluxe Double Room,1 night ·,Couple,August 2022,19 August 2022,,
8.0,"Great location, clean, reasonably priced &amp; served its purpose!","Location was excellent - near Earl's court underground and its many restaurants. Easy to get to/from Heathrow via underground!Also, near History Museum/Victoria &amp; Albert Museum &amp; Gloucester tube.",Room was small and there was no daily service.,United States,Superior Double Room,3 nights ·,Couple,August 2022,19 August 2022,,
8.0,central hotel with a good breakfast,the fact that it is very accessible from Heathrow airpo,the furniture is old,Malta,Superior Double Room,3 nights ·,Couple,August 2022,19 August 2022,,
8.0,Convenient location and friendly staff.,The staff were helpful and friendly. The breakfast area was nice and the food was good.,The room decor was a little dark.,Japan,Club Twin Room,3 nights ·,Family,August 2022,18 August 2022,,
8.0,great few days,"location was great , friendly staff and clean room",hard pillows and towels could have been bigger or more of them,United Kingdom,Club Double Room,3 nights ·,Couple,August 2022,18 August 2022,,
9.0,Helped make a great weekend away before A Level results,"Brilliant location, friendly staff",Nothing to dislike,United Kingdom,Superior Double Room,3 nights ·,Family,August 2022,18 August 2022,,
9.0,good,Good location,,United Kingdom,Deluxe Double Room,2 nights ·,Couple,August 2022,18 August 2022,,
9.0,Had a good weekend in London,Breakfast was great location easy for tube and facilities,Nothing everything was good,United Kingdom,Deluxe Double Room,2 nights ·,Couple,August 2022,17 August 2022,,
7.0,good basic hotel in good location. nice staff.,location and staff nice buffet breakfast,size of delux room - tiny,Australia,Deluxe Double Room,2 nights ·,Couple,August 2022,17 August 2022,,
8.0,Perfect spot,"Staff were really helpful &amp; friendly. Happy for us to leave our luggage on arrival &amp; departure days. Stayed during heatwave &amp; were given bottled water when we arrived back after a hot day in the city. Room had everything you would need. Perfect location for visiting the city, just minutes from station.","Nothing to dislike. Not a dislike but we stayed 4 nights &amp; they changed the sheets for the 4th night which seemed a waste, maybe 3rd night would have been better or not at all for this short stay.",United Kingdom,Superior Double Room,4 nights ·,Couple,August 2022,17 August 2022,,
7.0,Good,"The staff were very friendly and helpful. The room was clean, quiet and the bed very comfortable. I will come back again.",,United Kingdom,Deluxe Double Room,1 night ·,Solo traveller,August 2022,16 August 2022,,
9.0,"Great location, great staff, nice room and good facilities. Would definitely come back.","Didn’t realise I’d booked a Boutique hotel till arrival. Was pleasantly surprised at the size of room, not huge but not pokey. The aircon was a total necessity during the heatwave. The staff were super helpful and friendly. I messed up the aircon -the fixed it. We ran out of milk- they provided it. Always with a smile and good grace.","The safe was almost floor level, beside the bed. It’s been a long time since my husband’s been on his knees before me 🤭.",United Kingdom,Deluxe Double Room,4 nights ·,Couple,August 2022,16 August 2022,,
